cohort,dist,a,b,same_individual
GCN,2,фото тритонов из похожего проекта/Raw_Data/33/IMG_2445.JPEG,фото тритонов из похожего проекта/Raw_Data/33/IMG_2446.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/33/IMG_2446.JPEG,фото тритонов из похожего проекта/Raw_Data/33/IMG_2447.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/28/IMG_2486.JPEG,фото тритонов из похожего проекта/Raw_Data/28/IMG_2487.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/28/IMG_2490.JPEG,фото тритонов из похожего проекта/Raw_Data/28/IMG_2491.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/8/IMG_2585.JPEG,фото тритонов из похожего проекта/Raw_Data/8/IMG_2586.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/17/IMG_2662.JPEG,фото тритонов из похожего проекта/Raw_Data/17/IMG_2663.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/17/IMG_2669.JPEG,фото тритонов из похожего проекта/Raw_Data/17/IMG_2670.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/22/IMG_2679.JPEG,фото тритонов из похожего проекта/Raw_Data/22/IMG_2680.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/22/IMG_2684.JPEG,фото тритонов из похожего проекта/Raw_Data/22/IMG_2685.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/64/IMG_2735.JPEG,фото тритонов из похожего проекта/Raw_Data/64/IMG_2736.JPEG,True
GCN,4,фото тритонов из похожего проекта/Raw_Data/93/IMG_2792.JPEG,фото тритонов из похожего проекта/Raw_Data/93/IMG_2793.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/156/IMG_2955.JPEG,фото тритонов из похожего проекта/Raw_Data/156/IMG_2956.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/106/IMG_3113.JPEG,фото тритонов из похожего проекта/Raw_Data/106/IMG_3114.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/167/IMG_3332.JPEG,фото тритонов из похожего проекта/Raw_Data/167/IMG_3334.JPEG,True
GCN,2,фото тритонов из похожего проекта/Raw_Data/204/IMG_3710.JPEG,фото тритонов из похожего проекта/Raw_Data/204/IMG_3711.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/70/IMG_3747.JPEG,фото тритонов из похожего проекта/Raw_Data/70/IMG_3748.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/70/IMG_3751.JPEG,фото тритонов из похожего проекта/Raw_Data/70/IMG_3752.JPEG,True
GCN,6,фото тритонов из похожего проекта/Raw_Data/66/IMG_3762.JPEG,фото тритонов из похожего проекта/Raw_Data/66/IMG_3764.JPEG,True
